user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,кабели новосибирск,225,https://xn----8sbdqwjbq1a0j.xn--p1ai,"Область применения кабеля КГ. Кабель КГ расшифровывается как «Кабель Гибкий», и применяется при подключении подвижных устройств к силовым сетям переменного тока до 660 В, частотой 50 Гц, либо постоянного тока до 1000 В. Благодаря комбинации гибких марок резины и многопроволочных составных жил – вынослив к множественным динамическим изгибам на протяжении всего срока службы.",yandex,"['info@мос-кабель.рф', 'zakaz@mscable.ru']","['+73022383417', '+73412209843', '+73422252397', '+73433025813', '+73452519176', '+73472259831', '+73496413493', '+73512258957', '+73522509176', '+73532793662', '+73812994251', '+73822975045', '+73833120613', '+73842233980', '+73852595715', '+73919890352', '+73952199259', '+74012988753', '+74112505865', '+74162229674', '+74212902468', '+74232062814', '+74712442543', '+74722429189', '+74732628764', '+74742547984', '+74752503984', '+74812515869', '+74822223913', '+74832446492', '+74842908136', '+74852606591', '+74862221359', '+74872516310', '+74912575871', '+74932245781', '+74993400239', '+78003025006', '+78126285617', '+78152632460', '+78312354529', '+78332204729', '+78342229875', '+78352329208', '+78412509513', '+78422315765', '+78432073278', '+78442685960', '+78462152453', '+78512992982', '+78612048698', '+78622794148', '+78633093824', '+78652595365', '+78672289689']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://cable.ru,,yandex,"['press@cable.ru', 'zakaz+8c0907@cable.ru', 'zakaz@cable.ru']","['+74991134305', '+78003331148', '+79710008385']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://rucabel.ru,"Цена на кабель ВВГ в Новосибирске. Для наших покупателей, фирма Рукабель готова предоставить полный ассортимент кабельной продукции.",yandex,['zakaz@rucabel.ru'],"['+74994090639', '+78005518083']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://e27.su,"г. Новосибирск, ул. Владимировская, 1а, корпус 2.",yandex,"['e27elektro@mail.ru', 'zakaz@e27.su']","['+73832633711', '+79039003711', '+79303511646', '+79341605923']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://nkz-nsk.ru,"Производим кабель, который рекомендуют.",yandex,"['antropov@nkz-nsk.ru', 'brezhnev@nkz-nsk.ru', 'filenko@nkz-nsk.ru', 'hohlov_a@nkz-nsk.ru', 'moshkina@nkz-nsk.ru', 'nikonenko@nkz-nsk.ru', 'rakov@nkz-nsk.ru', 'rybalko@nkz-nsk.ru', 'sale@nkz-nsk.ru', 'sales@nkz-nsk.ru']","['+73832858098', '+73832858099']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://tpk-parma.ru,,yandex,"['buh@tpk-parma.ru', 'zakaz@tpk-parma.ru']","['+78007758790', '+78352201090', '+79530159761']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://kamkabel.market,"Интернет-магазин в Новосибирске. В нашем интернет-магазине представлена надёжная кабельно-проводниковая продукция ТМ «Камкабель», а также в ассортименте вы сможете найти все необходимые сопутствующие товары для работы с кабелем, такие как: инструменты, гофра, автоматические выключатели, розетки, щиты распределительные, осветительные приборы, УЗО и многое другое.",yandex,"['prm1@emarket59.ru', 'prm2@emarket59.ru']","['+73422055090', '+78002501530']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://elektrika-ok.ru,Купить в Новосибирске по оптовой цене силовой кабель.,yandex,"['info@elektrika54.site', 'mag@elektrika-ok.ru']","['+73833284232', '+79139021426']",01-10-2025 18:49:33
3,кабели новосибирск,225,https://pro-electro.ru,,yandex,['ses@ses.tomsk.ru'],['+73822403404'],01-10-2025 18:49:33
3,кабели новосибирск,225,https://akademkab.ru,"Компания «Академкабель» с 1998 года специализируется на поставках по России и в страны ближнего зарубежья качественной кабельной продукции - как высоковольтных проводов, так и кабелей для проводки в доме и квартире. Купить их оптом, бухтами или метражом вы можете либо напрямую с нашего собственного склада в Новосибирске (2,5 тыс. м²), либо воспользовавшись интернет-магазином.",yandex,"['1105@akademkab.ru', '1114@akademkab.ru', '1118@akademkab.ru', '1121@akademkab.ru', '1123@akademkab.ru', '1200@akademkab.ru', 'info@akademkab.ru']","['+73833632863', '+73833635700', '+73833635800', '+73833733120', '+79139172601', '+79139172608', '+79835103862', '+79999999999']",01-10-2025 18:49:33
