user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить утеплитель,149,https://mamont.by,Как выгоднее купить утеплитель. Теплоизоляция недорого.,yandex,"['z@mamont.by', 'zakup@mamont.by']","['+375172727384', '+375173881504', '+375257504504', '+375293504504', '+375333504504', '+375445016003']",01-10-2025 19:08:35
3,купить утеплитель,149,https://mtr.by,,yandex,['sales@mtr.by'],"['+375295842027', '+375445842027']",01-10-2025 19:08:35
3,купить утеплитель,149,https://profkomplekt.by,"Цены на утеплитель для дома зависят от производителя, размеров и толщины, формы поставки (рулон, блоки), а также самого материала. Помимо теплоизоляции в компании «Домпрофкомплект» можно приобрести крепления, клей и другие сопутствующие товары.",yandex,['sales@profkomplekt.by'],"['+375173363397', '+375291452152', '+375293545252', '+375333545252']",01-10-2025 19:08:35
3,купить утеплитель,149,https://ksk.by,"Теплоизоляция, звукоизоляция.",yandex,['info@ksk.by'],"['+375232241985', '+375232242466', '+375232347735', '+375445252694', '+375445252695', '+375445252696', '+375447462222']",01-10-2025 19:08:35
3,купить утеплитель,149,https://budnirb.by,"Как правильно подобрать и купить стеновой утеплитель? Можно потратить не один день на сравнение цен или поездки по строительным магазинам и рынкам, но лучше оставить заявку на сайте строительного интернет-магазина «Будни». У нас большой выбор утеплителей для стен под штукатурку",yandex,"['budnilida@ideyadoma.by', 'budniminsk@ideyadoma.by', 'budnipolock@ideyadoma.by', 'info@ideyadoma.by', 'saleminsk@ideyadoma.by', 'zakupki@ideyadoma.by']","['+375173234158', '+375291847500', '+375296173600', '+375296714253', '+375296980156', '+375297759385', '+375445211626', '+375445215151', '+375447102424', '+375447380736', '+375447500496']",01-10-2025 19:08:35
3,купить утеплитель,149,https://xn--j1abciba1a.xn--90ais,Заказать утеплитель Технониколь для крыши в строительном интернет-магазине с доставкой | Регулярные акции и скидки на товары | Гарантия | Собственный склад | Звоните +375-29-745-07-77.,yandex,"['molotok@bonados.by', 'sale1@bonados.by', 'sale3@bonados.by']","['+375162350077', '+375297450777', '+375336400555', '+375336400999', '+375447450777']",01-10-2025 19:08:35
3,купить утеплитель,149,https://xn--j1ano.xn--90ais,,yandex,['cskby@mail.ru'],"['+375293115306', '+375339052040']",01-10-2025 19:08:35
3,купить утеплитель,149,https://smesi.by,"> » Купить утеплитель для стен, пола и потолка стоит для того, чтобы сделать дом теплым и при этом не переплачивать за отопление.",yandex,['vershina_stroi@mail.ru'],"['+375172344018', '+375445305533', '+375445667500', '+375445720533', '+375445920533', '+375445960533', '+375445970533']",01-10-2025 19:08:35
3,купить утеплитель,149,https://s-arena.by,"Низкие цены на утеплитель с доставкой, заказ можно оформить в нашем интернет-магазине.",yandex,"['strojarena@yandex.by', 'strojarena@yandex.ru']","['+375173601094', '+375173737456', '+375173743973', '+375257243903', '+375295441121', '+375445441100']",01-10-2025 19:08:35
3,купить утеплитель,149,https://hotstok.by,"Ищете качественные утеплители для дома в Минске? В интернет-магазине «ХОТсток» вы найдете широкий ассортимент утеплителей: пеноплекс, минеральная вата и другие по доступным ценам. Доставка по Минску и профессиональные консультации.",yandex,['sale@inbicity.by'],"['+375175121411', '+375291544838']",01-10-2025 19:08:35
3,купить утеплитель,149,https://oma.by,,yandex,"['brak@oma.by', 'magomamik@mail.ru', 'oma.ganrpo@gmail.com', 'oma.ivanovo@gmail.com', 'oma.malorita@gmail.com', 'ooo@oma.by']","['+375151479808', '+375152682000', '+375152683000', '+375156236180', '+375156236182', '+375163241610', '+375163366875', '+375163665378', '+375164420158', '+375164561071', '+375164663886', '+375164768279', '+375165164934', '+375165220989', '+375165562252', '+375171358147', '+375171692363', '+375173301000', '+375173301010', '+375173301037', '+375212657359', '+375212657378', '+375222702598', '+375222709118', '+375222743815', '+375232299532', '+375232299543', '+375233436898', '+375291720612', '+375291835580', '+375291906294', '+375291906724', '+375292469627', '+375295998560', '+375296122718', '+375296138803', '+375296167039', '+375296223675', '+375296450628', '+375296519585', '+375296700418', '+375296834388', '+375296952728', '+375297158805', '+375297873626', '+375297919137', '+375298230823', '+375298895136', '+375333250963', '+375445316553', '+375445415565', '+375445523297', '+375445778785', '+375445855205', '+375447013404', '+375447365668', '+375447635725', '+375447708500', '+375447757697', '+375447778203']",01-10-2025 19:08:35
3,купить утеплитель,149,https://pan.by,,yandex,"['zakaz@pan.by', 'zakupki@pan.by']","['+375173880048', '+375291883095', '+375293805500', '+375296121414', '+375333805500', '+375336121414']",01-10-2025 19:08:35
3,купить утеплитель,149,https://stroykontinent.by,Как производят теплоизоляцию ТехноНИКОЛЬ Предлагаем купить теплоизоляцию для эффективного утепления дома В интернет-магазине «Стройконтинент» вы найдете самые выгодные цены на теплоизоляцию и проверенный ассортимент надежных производителей.,yandex,['info@stroykontinent.by'],['+375295106302'],01-10-2025 19:08:35
3,купить утеплитель,149,https://mile.by,В интернет-магазине Mile.by вы можете купить утеплитель для стен в Минске или воспользоваться доставкой до двери в другой регион Беларуси.,yandex,"['astomshop@mail.ru', 'brest@mile.by', 'cc@mile.by', 'dk@mile.by', 'dpo@mile.by', 'ex_spravka@mile.by', 'ex_ttn@mile.by', 'gg@mile-diy.by', 'gt_ttn@mile.by', 'info@mile.by', 'kg@mile.by', 'md@mile.by', 'mm@mile.by', 'ot@mile.by', 'ot_resp@mile.by', 'receptionmile@mail.ru', 'ur@mile.by', 'zh@mile.by']","['+375152555522', '+375162507501', '+375172706556', '+375173011601', '+375173110958', '+375173181333', '+375173475050', '+375173608211', '+375173771393', '+375173880008', '+375173880298', '+375173881055', '+375173881117', '+375173882600', '+375173882608', '+375176556666', '+375256615050', '+375295595050', '+375296337722', '+375447795050']",01-10-2025 19:08:35
3,купить утеплитель,149,https://7745.by,"Утеплители (теплоизоляционные материалы) с доставкой по Беларуси купить в интернет магазине 7745.by, рассрочка, самовывоз в Минске, Солигорске, Бресте, Гомеле, Гродно, Витебске, Могилеве.",yandex,"['beznal@7745.by', 'info@7745.by', 'offer@7745.by', 'reklamacii@7745.by']","['+375172151465', '+375172151740', '+375172152626', '+375175127745', '+375259647745', '+375296607745', '+375296647745', '+375296657745', '+375297647745']",01-10-2025 19:08:35
3,купить утеплитель,149,https://e-stroyka.by,"Доставка в любой населенный пункт Беларуси. Рассрочка 0%. У нас купить утеплитель для стен не только выгодно, но и удобно!",yandex,['info@e-stroyka.by'],"['+375173040707', '+375173190707', '+375291150707', '+375291190707', '+375291910707', '+375296267007', '+375296680707', '+375336330707']",01-10-2025 19:08:35
3,купить утеплитель,149,https://bild-shop.by,"Утеплитель джут, межвенц, ширина 100мм(20м/п).",yandex,"['info@bild-shop.by', 'offers@bild-shop.by', 'orders@bild-shop.by']","['+375174237320', '+375174241515', '+375255456969', '+375291041740', '+375291132040', '+375291140061', '+375291190196', '+375291518500', '+375291608482', '+375291961986', '+375293796162', '+375295996969', '+375296788684', '+375445102902', '+375445221315', '+375445254414', '+375445356336', '+375445996969', '+375447121412', '+375447655536']",01-10-2025 19:08:35
3,купить утеплитель,149,https://fishkaremonta.by,"Купить утеплитель для стен в Минске по ценам от производителя и с доставкой на дом можно в нашем интернет-магазине «Фишка ремонта». Мы готовы проконсультировать вас по всем вопросам строительства, помочь выбрать подходящий утеплитель и дать рекомендации по его монтажу.",yandex,['sales@fishkaremonta.by'],"['+375293985509', '+375296378000']",01-10-2025 19:08:35
3,купить утеплитель,149,https://beltep.by,,yandex,"['beltep@beltep.by', 'termoshchit@mail.ru', 'trade@beltep.by']","['+375175103825', '+375296801845', '+375447313595']",01-10-2025 19:08:35
3,купить утеплитель,149,https://skladna.by,,yandex,['minsk@skladna.by'],"['+375172606396', '+375173368404', '+375291116677']",01-10-2025 19:08:35
