user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить черепицу от производителя,149,https://shinglas24.by,В нашем каталоге доступны все классические и самые новые серии и коллекции гибкой черепицы Технониколь Shinglas по цене производителя с оперативной доставкой по Минску и всей Беларуси!,yandex,"['gsp-plita@mail.ru', 'shinglas24@list.ru']","['+375293115306', '+375339052040']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://profkomplekt.by,"Черепица этой коллекции выполнена в популярной форме нарезки гонта «драконий зуб», добавляющей рельефности и объёма. Выпускается в классической палитре цветов: красный, коричневый, серый, зелёный и чёрный. Гарантия от производителя — 25 лет.",yandex,['sales@profkomplekt.by'],"['+375173363397', '+375291452152', '+375293545252', '+375333545252']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://krov.by,"Мы предлагаем купить гибкую черепицу ведущих мировых производителей: IKO, GAF, Shinglas, Katepal по привлекательной цене.",yandex,['info@krov.by'],"['+375291269707', '+375291825050', '+375293146565', '+375293636565', '+375293913732', '+375298081787', '+375333333332', '+375445402992', '+375447002727', '+375447988200', '+73011655691', '+73020154730', '+73020505137', '+73363655612', '+73413137531', '+73459588195', '+73468706444', '+73514695208', '+73531287404', '+73825001489', '+73887989207', '+73917750743']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://zabudova.by,"Купить цементно-песчаную черепицу с завода производителя ""Забудова"" в Беларуси. Цены цементно-песчаной черепицы на официальном сайте zabudova.by.",yandex,"['direktor@zabudova.by', 'kubrak_88@mail.ru', 'magazin@zabudova.by', 'sales-rb@zabudova.by', 'shop@zabudova.by', 'zabudova-smol@yandex.ru', 'zam_sbyt@zabudova.by']","['+375176724500', '+375176724507', '+375176724617', '+375176724680', '+375176724741', '+375176724790', '+375176724797', '+375176724837', '+375176724892', '+375176724906', '+375176724948', '+375176724954', '+375257997514', '+375291188229', '+375293235892', '+375293724724', '+375295746583', '+375296361046', '+375297634045', '+375297780912', '+375445599107', '+375445865346', '+375447821501', '+74812317000', '+74812317378', '+79646174450']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://shinglas-belarus.by,Однослойная гибкая черепица традиционной формы «соната» на основе улучшенного битума - оптимальный вариант бюджетного кровельного покрытия с гарантией 10 лет.,yandex,"['sales@profkomplekt.by', 'sklad@profkomplekt.by']","['+375291452152', '+375293542252', '+375293545209', '+375445546492']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://lkr.by,,yandex,['info@lkr.by'],['+375293717000'],03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://stroykontinent.by,Монтаж гибкой черепицы На нашем сайте вы можете заказать гибкую битумную черепицу с доставкой по городу Витебску и Витебской области.,yandex,['info@stroykontinent.by'],['+375295106302'],03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://brom.by,,yandex,['zakaz@brom.by'],"['+375296737380', '+375296808965']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://roofmarket.by,"Гибкая черепица — это современный кровельный материал, выполненный на основе модифицированного битума, что обеспечивает её высокую прочность и устойчивость к неблагоприятным погодным условиям. Производители поставляют нам товар не только качественный, но и разнообразный. Если вам требуется гибкая кровля, купить в Минске ее можно у нас.",yandex,['info@roofmarket.by'],"['+375295384848', '+375445384848']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://mobilroof.by,На самом деле принципиальных отличий модульной черепицы серьезных производителей — Bratex и Ruukki от листовой намного больше. Если же вы предпочитаете бюджетные варианты — мы можем Вам предложить модульную черепицу производства РБ-РФ.,yandex,"['a@mobils.by', 'f@mobils.by', 'l@mobils.by', 'm@mobils.by', 'pk@mobils.by', 'rusmobils@gmail.com', 'z@mobils.by']","['+375172514000', '+375296514000']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://mils.by,"Купить керамическую черепицу в Минске. Керамическая черепица — это кровельный материал, который изготавливается из глины путем обжига.",yandex,['info@mils.by'],"['+375173237361', '+375296107488', '+375297117488']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://dsc.by,"Мягкая битумная черепица выпускается из модифицированного битума: он окисляется или добавляется SBS. Этот материал характеризуют передовые технические характеристики, которые достигаются за счет внедрения новейших технологий в производство. Превосходный и оригинальный внешний вид, уникальная структура гонтов не повторяется у других производителей.",yandex,"['ean@dsc.by', 'idv@dsc.by', 'info@dsc.by', 'kas@dsc.by', 'ksn@dsc.by', 'kv@dsc.by', 'mlv@dsc.by', 'paa@dsc.by', 'poa@dsc.by', 'pov@dsc.by', 'pra@dsc.by', 'saa@dsc.by', 'sklad@dsc.by', 'srn@dsc.by', 'stv@dsc.by', 'tma@dsc.by', 'yov@dsc.by']",['+375291636054'],03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://xn--j1ano.xn--90ais,В продаже гибкая черепица от ведущих производителей и брендов: Shinglas,yandex,['cskby@mail.ru'],"['+375173995306', '+375173995307', '+375293115306', '+375293775376', '+375333575306', '+375333775306', '+375339052040', '+375447457409']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://aspin.by,,yandex,"['contact@aspin.by', 'work@aspin.by']","['+375172767979', '+375296043311', '+375296047979', '+375297391779']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://materiali.by,Почему битумную черепицу покупают у нас?,yandex,['info@materiali.by'],"['+375173881144', '+375293333046', '+375333333046']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://tegola.by,,yandex,['info@tegolatrade.by'],"['+375173886646', '+375293216646', '+375333347766', '+375333500055']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://robenbel.by,"каталог черепицы Робен в pdf Каталог керамической черепицы Roben (pdf-файл откроется в новой вкладке). Rőben предлагает широкий ассортимент керамической черепицы различных цветов, форм, размеров и фактуры поверхности. Цвета образуются за счет смешения глин и прочно вжигаются в черепицу при производстве, что гарантирует их стойкость и долговечность.",yandex,"['2774070@tut.by', 'info@robenbel.by']","['+375173744323', '+375173745253', '+375296573714', '+375297086213']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://allmax.by,,yandex,['info@allmax.by'],"['+375256940930', '+375296573714', '+375336393714']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://dachpol.by,Смелая форма модульной черепицы Futura выделяет данный профиль на фоне других металлочерепиц. Благодаря новому замковому соединению видимость стыков на кровле исключается. Сталь исключительно 0.5мм с цинковым слоем 275 г/м2.,yandex,"['mail@example.com', 'rlandmontaz@gmail.com']","['+375296163708', '+375296182009', '+375297063708']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://izomat.by,,yandex,"['3424742@izomat.by', '5010419@izomat.by', '5253469@izomat.by', '5254888@izomat.by', '5590551@izomat.by', '6865118@izomat.by', '7709560@izomat.by', '7710597@izomat.by', 'izomat@izomat.by', 'kruk@izomat.by', 'sidorenko@izomat.by', 'vig@izomat.by']","['+375293934776', '+375296605027', '+375445251380', '+375445253469', '+375445254390', '+375445254888', '+375447709560', '+375447710594', '+375447710595', '+375447710597', '+375447710598', '+375447710599', '+375447710842', '+375447710844']",03-10-2025 01:52:01
3,купить черепицу от производителя,149,https://vira.by,"Следовательно, можно купить гибкую черепицу и не опасаться протекания крыши и попадания воды на обрешетку или в чердачное помещение. Цены на гибкую черепицу зависят от производителя и от качества материалов, которые он использует при производстве гибкой битумной черепицы. В настоящий момент цены начинаются от 15 бел. руб. за м².",yandex,"['info@vira.by', 'krovbrest@tut.by', 'wira-info@mail.ru']","['+375292222199', '+375292245555', '+375293661885', '+375295899262', '+375296877730', '+375297881234', '+375297888278', '+375447887118']",03-10-2025 01:52:01
