user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производим косметику Гомельская область,159,https://gjk.by,"Продажа специального мыла оптом от производителя Гомельский жировой комбинат. Высокое качество продукции, широкий ассортимент, доступные цены.",yandex,['sales@gjk.by'],"['+375232347735', '+375447000207']",14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://alevi-stm.ru,"ООО «АлеВи» предлагает высококачественное производство косметических средств для вашего бренда, включая разработку формул, упаковку и сертификацию. Звоните 88002010984.",yandex,"['alevi@alevi-stm.ru', 'info@alevi-stm.ru']",['+78002010984'],14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://belkosmex.by,"Сертификация ISO 22716-2013 «Косметика», ISO 9001-2015 «Система менеджмента качества». Компания успешно прошла аудит и получила сертификат соответствия международному стандарту качества. 2020-2022. Расширение ассортимента. Выпущены косметические линейки. 2019.",yandex,['info@belkosmex.by'],['+375173780405'],14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://tashe.by,,yandex,['info@tashe.by'],['+375297367070'],14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://optlist.ru,"Производство уходовой белой косметики в Минске. Информация о производителе, цены оптом на товары, контакты, официальный сайт на ОптЛист.",yandex,['info@optlist.ru'],[],14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://selfielab.by,"Безопасность. Уверенность. Косметика - это залог моего здоровья, поэтому здесь нет компромиссов.",yandex,['info@selfielab.by'],['+375212671010'],14-11-2025 01:03:47
3,производим косметику Гомельская область,159,https://li-lo.by,Декоративная косметика бренда LiLo белорусского производства.,yandex,['info@li-lo.by'],"['+375172487090', '+375173882992', '+375255497000', '+375339015059', '+375447388940']",14-11-2025 01:03:47
3,производим косметику Брестская область,150,https://belita-shop.by,Интернет-магазин косметики Белита-Витэкс. Компания Белита является признанным лидером по производству косметической продукции в Беларуси на протяжении последних 30 лет. Неизменно высокое качество белорусской косметики и доступные цены привлекают множество поклонников бренда далеко за пределами страны.,yandex,"['desk@belita-shop.by', 'zakaz@belita-shop.by']","['+375256122727', '+375296122727', '+375296775355', '+375336122727']",14-11-2025 01:03:48
3,производим косметику Брестская область,150,https://bel-tvc.ru,"Белкосмекс лого «Belkosmex» — один из крупнейших белорусских производителей косметики для ухода за кожей лица, тела и волосами. С 1995 года компания «Belkosmex» предлагает только лучшее для сохранения естественной красоты как источника вдохновения. Белорусский производитель косметики «Belkosmex» придает большое значение качеству своей продукции и следует принципам экологической чистоты и натуральности.",yandex,['info@bel-tvc.ru'],['+74991811090'],14-11-2025 01:03:48
3,производим косметику Витебская область,154,https://vitvesti.by,"Большая часть выпускаемой предприятием продукции относится к импортозамещающей и экспортно ориентированной. Новые линейки косметических средств для человека, сотни видов лекарств для животных — в ассортименте более 300 наименований. Продукцию витебских промышленников ждут белорусы, россияне, казахи, узбеки.",yandex,['info@vitvesti.by'],"['+375291901332', '+375292142684']",14-11-2025 01:03:49
3,производим косметику Витебская область,154,https://rekish.by,Rekish Cosmetics Контрактное производство косметки в Беларуси. Производство косметики под заказ. Сертификация косметики и фасовка.,yandex,['sales@rekish.by'],['+375296536781'],14-11-2025 01:03:49
3,производим косметику Витебская область,154,https://belita-shop.by,Интернет-магазин косметики Белита-Витэкс. Компания Белита является признанным лидером по производству косметической продукции в Беларуси на протяжении последних 30 лет. Неизменно высокое качество белорусской косметики и доступные цены привлекают множество поклонников бренда далеко за пределами страны.,yandex,"['desk@belita-shop.by', 'zakaz@belita-shop.by']","['+375256122727', '+375296122727', '+375296775355', '+375336122727']",14-11-2025 01:03:49
3,производим косметику Витебская область,154,https://selfielab.by,"Безопасность. Уверенность. Косметика - это залог моего здоровья, поэтому здесь нет компромиссов.",yandex,"['e.chernyshev@tdvic.ru', 'info@selfielab.by', 'kunda@selfielab.by', 'tokarev@vicah.by']","['+375212671010', '+375445033177', '+375447761115', '+74957776767', '+79262584474']",14-11-2025 01:03:49
3,производим косметику Витебская область,154,https://masstige.by,Anti-Age Антивозрастная уходовая косметика. ACID SERIES Средства для домашнего пилинга. JELLYFISH COLLAGEN Косметика с коллагеном из медузы. MATTE LINE Комплексный уход для кожи лица. HAIR FOCUS Уход за кожей головы и волосам. Mellow Уходовая косметика для рук и ног. THE SCIENCE OF YOUTH Профессиональный ответ старению и пигментации.,yandex,['info@masstige.by'],['+375296299969'],14-11-2025 01:03:49
3,производим косметику Гродненская область,163,https://belita.by,СКИДКА -20% на топовые средства декоративной косметики ВИТЭКС.,yandex,"['contact@vitex.by', 'info@belita.by']","['+375172221211', '+375172434349', '+375172510111', '+375173007100', '+375173476209']",14-11-2025 01:03:52
3,производим косметику Гродненская область,163,https://proffhim.by,"ООО «ПроффХим» является белорусским производителем моющих и дезинфицирующих средств торговой марки «Профф» на территории Республики Беларусь. ООО «ПроффХим» - компания, созданная профессионалами в области производства и продаж моющих средств.",yandex,"['proffhimsale@mail.ru', 'zebrahim.nn@yandex.ru']","['+375152605277', '+375291060587', '+375292659068', '+375296729520', '+78314155535']",14-11-2025 01:03:52
3,производим косметику Гродненская область,163,https://tashe.by,Главная идеально подойдёт для вашего типа волос - купить на официальном сайте производителя с доставкой по РБ. Делаем качественный и профессиональный уход простым и доступным!,yandex,['info@tashe.by'],['+375297367070'],14-11-2025 01:03:52
